student_number,first_name,last_name,course,course_title,teacher
96 ,Li,Student 96,,Course 1,Teacher 3
97 ,Yu,Student 97,,Course 1,Teacher 3
98 ,Zong,Student 98,,Course 1,Teacher 3
99 ,Song,Student 99,,Course 1,Teacher 3
100 ,Chen,Student 100,,Course 1,Teacher 3
101 ,Yang,Student 101,,Course 1,Teacher 3
102 ,Zhang,Student 102,,Course 1,Teacher 3
103 ,Li,Student 103,,Course 1,Teacher 3
104 ,Yang,Student 104,,Course 1,Teacher 3
105 ,Zhang,Student 105,,Course 1,Teacher 3
106 ,Li,Student 106,,Course 1,Teacher 3
107 ,Yu,Student 107,,Course 1,Teacher 3
108 ,Zong,Student 108,,Course 1,Teacher 3
109 ,Song,Student 109,,Course 1,Teacher 3
110 ,Chen,Student 110,,Course 1,Teacher 3
111 ,Yang,Student 111,,Course 1,Teacher 3
112 ,Zhang,Student 112,,Course 1,Teacher 3
113 ,Li,Student 113,,Course 1,Teacher 3
114 ,Yu,Student 114,,Course 1,Teacher 3
115 ,Zong,Student 115,,Course 1,Teacher 3
116 ,Song,Student 116,,Course 1,Teacher 3
117 ,Chen,Student 117,,Course 1,Teacher 3
118 ,Yang,Student 118,,Course 1,Teacher 3
119 ,Zhang,Student 119,,Course 1,Teacher 3
120 ,Li,Student 120,,Course 1,Teacher 2
121 ,Yang,Student 121,,Course 1,Teacher 2
122 ,Zhang,Student 122,,Course 1,Teacher 2
123 ,Li,Student 123,,Course 1,Teacher 2
124 ,Yu,Student 124,,Course 1,Teacher 2
125 ,Zong,Student 125,,Course 1,Teacher 2
126 ,Song,Student 126,,Course 1,Teacher 2
127 ,Chen,Student 127,,Course 1,Teacher 2
128 ,Yang,Student 128,,Course 1,Teacher 2
129 ,Zhang,Student 129,,Course 1,Teacher 2
130 ,Li,Student 130,,Course 1,Teacher 2
131 ,Yu,Student 131,,Course 1,Teacher 2
132 ,Zong,Student 132,,Course 1,Teacher 2
133 ,Song,Student 133,,Course 1,Teacher 2
134 ,Chen,Student 134,,Course 1,Teacher 2
135 ,Yang,Student 135,,Course 1,Teacher 2
136 ,Zhang,Student 136,,Course 1,Teacher 2
137 ,Li,Student 137,,Course 1,Teacher 2
138 ,Yang,Student 138,,Course 1,Teacher 2
139 ,Zhang,Student 139,,Course 1,Teacher 2
140 ,Li,Student 140,,Course 1,Teacher 2
141 ,Yu,Student 141,,Course 1,Teacher 2
142 ,Zong,Student 142,,Course 1,Teacher 2
143 ,Song,Student 143,,Course 1,Teacher 2
144 ,Chen,Student 144,,Course 1,Teacher 4
145 ,Yang,Student 145,,Course 1,Teacher 4
146 ,Zhang,Student 146,,Course 1,Teacher 4
147 ,Li,Student 147,,Course 1,Teacher 4
148 ,Yu,Student 148,,Course 1,Teacher 4
149 ,Zong,Student 149,,Course 1,Teacher 4
150 ,Song,Student 150,,Course 1,Teacher 4
151 ,Chen,Student 151,,Course 1,Teacher 4
152 ,Yang,Student 152,,Course 1,Teacher 4
153 ,Zhang,Student 153,,Course 1,Teacher 4
154 ,Li,Student 154,,Course 1,Teacher 4
155 ,Yang,Student 155,,Course 1,Teacher 4
156 ,Zhang,Student 156,,Course 1,Teacher 4
157 ,Li,Student 157,,Course 1,Teacher 4
158 ,Yu,Student 158,,Course 1,Teacher 4
159 ,Zong,Student 159,,Course 1,Teacher 4
160 ,Song,Student 160,,Course 1,Teacher 4
161 ,Chen,Student 161,,Course 1,Teacher 4
162 ,Yang,Student 162,,Course 1,Teacher 4
163 ,Zhang,Student 163,,Course 1,Teacher 4
164 ,Li,Student 164,,Course 1,Teacher 4
165 ,Yu,Student 165,,Course 1,Teacher 5
166 ,Zong,Student 166,,Course 1,Teacher 5
167 ,Song,Student 167,,Course 1,Teacher 5
168 ,Chen,Student 168,,Course 1,Teacher 5
169 ,Yang,Student 169,,Course 1,Teacher 5
170 ,Zhang,Student 170,,Course 1,Teacher 5
171 ,Li,Student 171,,Course 1,Teacher 5
172 ,Yang,Student 172,,Course 1,Teacher 5
173 ,Zhang,Student 173,,Course 1,Teacher 5
174 ,Li,Student 174,,Course 1,Teacher 5
175 ,Yu,Student 175,,Course 1,Teacher 5
176 ,Zong,Student 176,,Course 1,Teacher 5
177 ,Song,Student 177,,Course 1,Teacher 5
178 ,Chen,Student 178,,Course 1,Teacher 5
179 ,Yang,Student 179,,Course 1,Teacher 5
180 ,Zhang,Student 180,,Course 1,Teacher 5
181 ,Li,Student 181,,Course 1,Teacher 5
182 ,Yu,Student 182,,Course 1,Teacher 5
183 ,Zong,Student 183,,Course 1,Teacher 5
184 ,Song,Student 184,,Course 1,Teacher 5
185 ,Chen,Student 185,,Course 1,Teacher 5
186 ,Yang,Student 186,,Course 1,Teacher 5
187 ,Zhang,Student 187,,Course 1,Teacher 5
188 ,Li,Student 188,,Course 1,Teacher 5
189 ,Yang,Student 189,,Course 1,Teacher 5
190 ,Zhang,Student 190,,Course 1,Teacher 5
191 ,Li,Student 191,,Course 1,Teacher 5
192 ,Yu,Student 192,,Course 1,Teacher 6
193 ,Zong,Student 193,,Course 1,Teacher 6
194 ,Song,Student 194,,Course 1,Teacher 6
195 ,Chen,Student 195,,Course 1,Teacher 6
196 ,Yang,Student 196,,Course 1,Teacher 6
197 ,Zhang,Student 197,,Course 1,Teacher 6
198 ,Li,Student 198,,Course 1,Teacher 6
199 ,Yu,Student 199,,Course 1,Teacher 6
200 ,Zong,Student 200,,Course 1,Teacher 6
201 ,Song,Student 201,,Course 1,Teacher 6
202 ,Chen,Student 202,,Course 1,Teacher 6
203 ,Yang,Student 203,,Course 1,Teacher 6
204 ,Zhang,Student 204,,Course 1,Teacher 6
205 ,Li,Student 205,,Course 1,Teacher 6
206 ,Yang,Student 206,,Course 1,Teacher 6
207 ,Zhang,Student 207,,Course 1,Teacher 6
208 ,Li,Student 208,,Course 1,Teacher 6
209 ,Yu,Student 209,,Course 1,Teacher 6
210 ,Zong,Student 210,,Course 1,Teacher 6
211 ,Song,Student 211,,Course 1,Teacher 6
212 ,Chen,Student 212,,Course 1,Teacher 6
213 ,Yang,Student 213,,Course 1,Teacher 6
214 ,Zhang,Student 214,,Course 1,Teacher 6
42 ,Li,Student 42,,Course 2,Teacher 7
70 ,Yu,Student 70,,Course 2,Teacher 7
68 ,Zong,Student 68,,Course 2,Teacher 7
215 ,Song,Student 215,,Course 2,Teacher 7
108 ,Chen,Student 108,,Course 2,Teacher 7
216 ,Yang,Student 216,,Course 2,Teacher 7
217 ,Zhang,Student 217,,Course 2,Teacher 7
218 ,Li,Student 218,,Course 2,Teacher 7
219 ,Yang,Student 219,,Course 2,Teacher 7
220 ,Zhang,Student 220,,Course 2,Teacher 7
221 ,Li,Student 221,,Course 2,Teacher 7
222 ,Yu,Student 222,,Course 2,Teacher 7
223 ,Zong,Student 223,,Course 2,Teacher 7
133 ,Song,Student 133,,Course 2,Teacher 7
224 ,Chen,Student 224,,Course 2,Teacher 7
225 ,Yang,Student 225,,Course 2,Teacher 7
226 ,Zhang,Student 226,,Course 2,Teacher 7
113 ,Li,Student 113,,Course 2,Teacher 7
29 ,Yu,Student 29,,Course 2,Teacher 7
227 ,Zong,Student 227,,Course 2,Teacher 7
228 ,Song,Student 228,,Course 2,Teacher 7
149 ,Chen,Student 149,,Course 2,Teacher 7
229 ,Yang,Student 229,,Course 2,Teacher 7
230 ,Zhang,Student 230,,Course 2,Teacher 7
92 ,Li,Student 92,,Course 2,Teacher 7
231 ,Yang,Student 231,,Course 2,Teacher 7
157 ,Zhang,Student 157,,Course 2,Teacher 7
232 ,Li,Student 232,,Course 2,Teacher 7
137 ,Yu,Student 137,,Course 2,Teacher 7
233 ,Zong,Student 233,,Course 2,Teacher 7
178 ,Song,Student 178,,Course 2,Teacher 7
136 ,Chen,Student 136,,Course 2,Teacher 7
143 ,Yang,Student 143,,Course 2,Teacher 7
234 ,Zhang,Student 234,,Course 2,Teacher 7
127 ,Li,Student 127,,Course 2,Teacher 7
88 ,Yu,Student 88,,Course 2,Teacher 7
235 ,Zong,Student 235,,Course 2,Teacher 7
236 ,Song,Student 236,,Course 2,Teacher 7
204 ,Chen,Student 204,,Course 2,Teacher 7
237 ,Yang,Student 237,,Course 2,Teacher 7
238 ,Zhang,Student 238,,Course 2,Teacher 7
239 ,Li,Student 239,,Course 2,Teacher 7
240 ,Yang,Student 240,,Course 2,Teacher 7
241 ,Zhang,Student 241,,Course 2,Teacher 7
124 ,Li,Student 124,,Course 2,Teacher 7
242 ,Yu,Student 242,,Course 2,Teacher 7
243 ,Zong,Student 243,,Course 2,Teacher 7
244 ,Song,Student 244,,Course 2,Teacher 7
172 ,Chen,Student 172,,Course 2,Teacher 7
57 ,Yang,Student 57,,Course 2,Teacher 7
14 ,Zhang,Student 14,,Course 2,Teacher 7
203 ,Li,Student 203,,Course 2,Teacher 7
245 ,Yu,Student 245,,Course 2,Teacher 7
86 ,Zong,Student 86,,Course 2,Teacher 7
76 ,Song,Student 76,,Course 2,Teacher 7
246 ,Chen,Student 246,,Course 2,Teacher 7
247 ,Yang,Student 247,,Course 2,Teacher 7
248 ,Zhang,Student 248,,Course 2,Teacher 7
249 ,Li,Student 249,,Course 2,Teacher 7
16 ,Yang,Student 16,,Course 2,Teacher 7
250 ,Zhang,Student 250,,Course 2,Teacher 7
251 ,Li,Student 251,,Course 2,Teacher 7
183 ,Yu,Student 183,,Course 2,Teacher 7
33 ,Zong,Student 33,,Course 2,Teacher 7
252 ,Song,Student 252,,Course 2,Teacher 7
253 ,Chen,Student 253,,Course 2,Teacher 7
1 ,Yang,Students 1493,,Course 2,Teacher 7
193 ,Zhang,Student 193,,Course 2,Teacher 7
254 ,Li,Student 254,,Course 2,Teacher 7
255 ,Yu,Student 255,,Course 2,Teacher 7
256 ,Zong,Student 256,,Course 2,Teacher 7
257 ,Song,Student 257,,Course 2,Teacher 7
258 ,Chen,Student 258,,Course 2,Teacher 7
195 ,Yang,Student 195,,Course 2,Teacher 7
121 ,Zhang,Student 121,,Course 2,Teacher 7
259 ,Li,Student 259,,Course 2,Teacher 7
260 ,Yang,Student 260,,Course 2,Teacher 7
261 ,Zhang,Student 261,,Course 2,Teacher 7
262 ,Li,Student 262,,Course 2,Teacher 7
263 ,Yu,Student 263,,Course 2,Teacher 7
214 ,Zong,Student 214,,Course 2,Teacher 7
135 ,Song,Student 135,,Course 2,Teacher 8
264 ,Chen,Student 264,,Course 2,Teacher 8
265 ,Yang,Student 265,,Course 2,Teacher 8
266 ,Zhang,Student 266,,Course 2,Teacher 8
267 ,Li,Student 267,,Course 2,Teacher 8
268 ,Yu,Student 268,,Course 2,Teacher 8
31 ,Zong,Student 31,,Course 2,Teacher 8
162 ,Song,Student 162,,Course 2,Teacher 8
269 ,Chen,Student 269,,Course 2,Teacher 8
32 ,Yang,Student 32,,Course 2,Teacher 8
270 ,Zhang,Student 270,,Course 2,Teacher 8
271 ,Li,Student 271,,Course 2,Teacher 8
272 ,Yang,Student 272,,Course 2,Teacher 8
273 ,Zhang,Student 273,,Course 2,Teacher 8
274 ,Li,Student 274,,Course 2,Teacher 8
275 ,Yu,Student 275,,Course 2,Teacher 8
276 ,Zong,Student 276,,Course 2,Teacher 8
142 ,Song,Student 142,,Course 2,Teacher 8
160 ,Chen,Student 160,,Course 2,Teacher 8
147 ,Yang,Student 147,,Course 2,Teacher 8
140 ,Zhang,Student 140,,Course 2,Teacher 8
277 ,Li,Student 277,,Course 2,Teacher 8
278 ,Yu,Student 278,,Course 2,Teacher 8
279 ,Zong,Student 279,,Course 2,Teacher 8
181 ,Song,Student 181,,Course 2,Teacher 8
280 ,Chen,Student 280,,Course 2,Teacher 9
281 ,Yang,Student 281,,Course 2,Teacher 9
282 ,Zhang,Student 282,,Course 2,Teacher 9
283 ,Li,Student 283,,Course 2,Teacher 9
284 ,Yang,Student 284,,Course 2,Teacher 9
105 ,Zhang,Student 105,,Course 2,Teacher 9
285 ,Li,Student 285,,Course 2,Teacher 9
286 ,Yu,Student 286,,Course 2,Teacher 9
119 ,Zong,Student 119,,Course 2,Teacher 9
120 ,Song,Student 120,,Course 2,Teacher 9
287 ,Chen,Student 287,,Course 2,Teacher 9
30 ,Yang,Student 30,,Course 2,Teacher 9
39 ,Zhang,Student 39,,Course 2,Teacher 9
288 ,Li,Student 288,,Course 2,Teacher 9
289 ,Yu,Student 289,,Course 2,Teacher 9
96 ,Zong,Student 96,,Course 2,Teacher 9
151 ,Song,Student 151,,Course 2,Teacher 9
290 ,Chen,Student 290,,Course 2,Teacher 9
132 ,Yang,Student 132,,Course 2,Teacher 9
291 ,Zhang,Student 291,,Course 2,Teacher 9
192 ,Li,Student 192,,Course 2,Teacher 9
43 ,Yang,Student 43,,Course 2,Teacher 9
292 ,Zhang,Student 292,,Course 2,Teacher 9
293 ,Li,Student 293,,Course 2,Teacher 9
294 ,Yu,Student 294,,Course 2,Teacher 9
82 ,Zong,Student 82,,Course 2,Teacher 9
91 ,Song,Student 91,,Course 2,Teacher 9
212 ,Chen,Student 212,,Course 2,Teacher 8
295 ,Yang,Student 295,,Course 2,Teacher 8
296 ,Zhang,Student 296,,Course 2,Teacher 8
111 ,Li,Student 111,,Course 2,Teacher 8
125 ,Yu,Student 125,,Course 2,Teacher 8
128 ,Zong,Student 128,,Course 2,Teacher 8
297 ,Song,Student 297,,Course 2,Teacher 8
298 ,Chen,Student 298,,Course 2,Teacher 8
20 ,Yang,Student 20,,Course 2,Teacher 8
299 ,Zhang,Student 299,,Course 2,Teacher 8
300 ,Li,Student 300,,Course 2,Teacher 8
139 ,Yang,Student 139,,Course 2,Teacher 8
141 ,Zhang,Student 141,,Course 2,Teacher 8
301 ,Li,Student 301,,Course 2,Teacher 8
302 ,Yu,Student 302,,Course 2,Teacher 8
117 ,Zong,Student 117,,Course 2,Teacher 8
303 ,Song,Student 303,,Course 2,Teacher 8
21 ,Chen,Student 21,,Course 2,Teacher 8
11 ,Yang,Student 11,,Course 2,Teacher 8
53 ,Zhang,Student 53,,Course 2,Teacher 8
304 ,Li,Student 304,,Course 2,Teacher 8
305 ,Yu,Student 305,,Course 2,Teacher 8
75 ,Zong,Student 75,,Course 2,Teacher 8
306 ,Song,Student 306,,Course 2,Teacher 8
211 ,Chen,Student 211,,Course 2,Teacher 8
307 ,Yang,Student 307,,Course 2,Teacher 8
308 ,Zhang,Student 308,,Course 2,Teacher 10
309 ,Li,Student 309,,Course 2,Teacher 10
310 ,Yang,Student 310,,Course 2,Teacher 10
182 ,Zhang,Student 182,,Course 2,Teacher 10
122 ,Li,Student 122,,Course 2,Teacher 10
210 ,Yu,Student 210,,Course 2,Teacher 10
311 ,Zong,Student 311,,Course 2,Teacher 10
17 ,Song,Student 17,,Course 2,Teacher 10
38 ,Chen,Student 38,,Course 2,Teacher 10
312 ,Yang,Student 312,,Course 2,Teacher 10
313 ,Zhang,Student 313,,Course 2,Teacher 10
314 ,Li,Student 314,,Course 2,Teacher 10
180 ,Yu,Student 180,,Course 2,Teacher 10
315 ,Zong,Student 315,,Course 2,Teacher 10
316 ,Song,Student 316,,Course 2,Teacher 10
188 ,Chen,Student 188,,Course 2,Teacher 10
317 ,Yang,Student 317,,Course 2,Teacher 10
200 ,Zhang,Student 200,,Course 2,Teacher 10
318 ,Li,Student 318,,Course 2,Teacher 10
319 ,Yang,Student 319,,Course 2,Teacher 10
320 ,Zhang,Student 320,,Course 2,Teacher 10
25 ,Li,Student 25,,Course 2,Teacher 10
321 ,Yu,Student 321,,Course 2,Teacher 10
322 ,Zong,Student 322,,Course 2,Teacher 10
323 ,Song,Student 323,,Course 2,Teacher 10
155 ,Chen,Student 155,,Course 2,Teacher 10
324 ,Yang,Student 324,,Course 2,Teacher 10
325 ,Zhang,Student 325,,Course 2,Teacher 10
163 ,Li,Student 163,,Course 2,Teacher 10
326 ,Yu,Student 326,,Course 2,Teacher 10
327 ,Zong,Student 327,,Course 2,Teacher 10
328 ,Song,Student 328,,Course 2,Teacher 10
329 ,Chen,Student 329,,Course 2,Teacher 10
330 ,Yang,Student 330,,Course 2,Teacher 10
331 ,Zhang,Student 331,,Course 2,Teacher 10
332 ,Li,Student 332,,Course 2,Teacher 10
52 ,Yang,Student 52,,Course 2,Teacher 10
3 ,Zhang,Student 1,,Course 2,Teacher 10
333 ,Li,Student 333,,Course 2,Teacher 10
334 ,Yu,Student 334,,Course 2,Teacher 10
67 ,Zong,Student 67,,Course 2,Teacher 10
51 ,Song,Student 51,,Course 2,Teacher 10
335 ,Chen,Student 335,,Course 2,Teacher 10
336 ,Yang,Student 336,,Course 2,Teacher 10
337 ,Zhang,Student 337,,Course 2,Teacher 10
338 ,Li,Student 338,,Course 2,Teacher 10
339 ,Yu,Student 339,,Course 2,Teacher 10
340 ,Zong,Student 340,,Course 2,Teacher 10
100 ,Song,Student 100,,Course 2,Teacher 10
341 ,Chen,Student 341,,Course 2,Teacher 10
342 ,Yang,Student 342,,Course 2,Teacher 5
209 ,Zhang,Student 209,,Course 2,Teacher 5
343 ,Li,Student 343,,Course 2,Teacher 5
344 ,Yang,Student 344,,Course 2,Teacher 5
207 ,Zhang,Student 207,,Course 2,Teacher 5
345 ,Li,Student 345,,Course 2,Teacher 5
185 ,Yu,Student 185,,Course 2,Teacher 5
4 ,Zong,Student 4,,Course 2,Teacher 5
346 ,Song,Student 346,,Course 2,Teacher 5
15 ,Chen,Student 15,,Course 2,Teacher 5
158 ,Yang,Student 158,,Course 2,Teacher 5
347 ,Zhang,Student 347,,Course 2,Teacher 5
348 ,Li,Student 348,,Course 2,Teacher 5
87 ,Yu,Student 87,,Course 2,Teacher 5
349 ,Zong,Student 349,,Course 2,Teacher 5
350 ,Song,Student 350,,Course 2,Teacher 5
169 ,Chen,Student 169,,Course 2,Teacher 5
351 ,Yang,Student 351,,Course 2,Teacher 5
352 ,Zhang,Student 352,,Course 2,Teacher 5
10 ,Li,Student 10,,Course 2,Teacher 5
353 ,Yang,Student 353,,Course 2,Teacher 5
152 ,Zhang,Student 152,,Course 2,Teacher 5
354 ,Li,Student 354,,Course 2,Teacher 11
355 ,Yu,Student 355,,Course 2,Teacher 11
356 ,Zong,Student 356,,Course 2,Teacher 11
357 ,Song,Student 357,,Course 2,Teacher 11
144 ,Chen,Student 144,,Course 2,Teacher 11
358 ,Yang,Student 358,,Course 2,Teacher 11
359 ,Zhang,Student 359,,Course 2,Teacher 11
360 ,Li,Student 360,,Course 2,Teacher 11
196 ,Yu,Student 196,,Course 2,Teacher 11
361 ,Zong,Student 361,,Course 2,Teacher 11
73 ,Song,Student 73,,Course 2,Teacher 11
362 ,Chen,Student 362,,Course 2,Teacher 11
153 ,Yang,Student 153,,Course 2,Teacher 11
363 ,Zhang,Student 363,,Course 2,Teacher 11
364 ,Li,Student 364,,Course 2,Teacher 11
365 ,Yang,Student 365,,Course 2,Teacher 11
366 ,Zhang,Student 366,,Course 2,Teacher 11
367 ,Li,Student 367,,Course 2,Teacher 11
368 ,Yu,Student 368,,Course 2,Teacher 11
62 ,Zong,Student 62,,Course 2,Teacher 11
61 ,Song,Student 61,,Course 2,Teacher 11
118 ,Chen,Student 118,,Course 2,Teacher 11
58 ,Yang,Student 58,,Course 2,Teacher 11
49 ,Zhang,Student 49,,Course 2,Teacher 11
369 ,Li,Student 369,,Course 2,Teacher 5
370 ,Yu,Student 370,,Course 2,Teacher 5
371 ,Zong,Student 371,,Course 2,Teacher 5
372 ,Song,Student 372,,Course 2,Teacher 5
373 ,Chen,Student 373,,Course 2,Teacher 5
374 ,Yang,Student 374,,Course 2,Teacher 5
375 ,Zhang,Student 375,,Course 2,Teacher 5
376 ,Li,Student 376,,Course 2,Teacher 5
377 ,Yang,Student 377,,Course 2,Teacher 5
104 ,Zhang,Student 104,,Course 2,Teacher 5
378 ,Li,Student 378,,Course 2,Teacher 5
101 ,Yu,Student 101,,Course 2,Teacher 5
379 ,Zong,Student 379,,Course 2,Teacher 5
112 ,Song,Student 112,,Course 2,Teacher 5
199 ,Chen,Student 199,,Course 2,Teacher 5
83 ,Yang,Student 83,,Course 2,Teacher 5
27 ,Zhang,Student 27,,Course 2,Teacher 5
380 ,Li,Student 380,,Course 2,Teacher 5
381 ,Yu,Student 381,,Course 2,Teacher 5
64 ,Zong,Student 64,,Course 2,Teacher 5
85 ,Song,Student 85,,Course 2,Teacher 5
5 ,Chen,Student 5,,Course 2,Teacher 5
382 ,Yang,Student 382,,Course 2,Teacher 5
98 ,Zhang,Student 98,,Course 2,Teacher 5
84 ,Li,Student 84,,Course 2,Teacher 5
383 ,Yang,Student 383,,Course 2,Teacher 5
384 ,Zhang,Student 384,,Course 2,Teacher 5
7 ,Li,Student 7,,Course 2,Teacher 5
175 ,Yu,Student 175,,Course 2,Teacher 5
385 ,Zong,Student 385,,Course 2,Teacher 5
386 ,Song,Student 386,,Course 2,Teacher 5
387 ,Chen,Student 387,,Course 2,Teacher 5
102 ,Yang,Student 102,,Course 2,Teacher 5
78 ,Zhang,Student 78,,Course 2,Teacher 5
388 ,Li,Student 388,,Course 2,Teacher 5
389 ,Yu,Student 389,,Course 2,Teacher 5
390 ,Zong,Student 390,,Course 2,Teacher 5
213 ,Song,Student 213,,Course 2,Teacher 5
391 ,Chen,Student 391,,Course 2,Teacher 5
392 ,Yang,Student 392,,Course 2,Teacher 5
131 ,Zhang,Student 131,,Course 2,Teacher 5
393 ,Li,Student 393,,Course 2,Teacher 5
394 ,Yang,Student 394,,Course 2,Teacher 5
176 ,Zhang,Student 176,,Course 2,Teacher 5
395 ,Li,Student 395,,Course 2,Teacher 5
396 ,Yu,Student 396,,Course 2,Teacher 5
397 ,Zong,Student 397,,Course 2,Teacher 5
77 ,Song,Student 77,,Course 2,Teacher 5
398 ,Chen,Student 398,,Course 2,Teacher 5
174 ,Yang,Student 174,,Course 2,Teacher 5
399 ,Zhang,Student 399,,Course 2,Teacher 5
93 ,Li,Student 93,,Course 2,Teacher 5
46 ,Yu,Student 46,,Course 2,Teacher 5
400 ,Zong,Student 400,,Course 2,Teacher 5
401 ,Song,Student 401,,Course 2,Teacher 10
402 ,Yang,Student 402,,Course 2,Teacher 10
403 ,Zhang,Student 403,,Course 2,Teacher 10
404 ,Li,Student 404,,Course 2,Teacher 10
71 ,Yu,Student 71,,Course 2,Teacher 10
405 ,Zong,Student 405,,Course 2,Teacher 10
406 ,Song,Student 406,,Course 2,Teacher 10
190 ,Chen,Student 190,,Course 2,Teacher 10
407 ,Yang,Student 407,,Course 2,Teacher 10
79 ,Zhang,Student 79,,Course 2,Teacher 10
22 ,Li,Student 22,,Course 2,Teacher 10
408 ,Yu,Student 408,,Course 2,Teacher 10
48 ,Zong,Student 48,,Course 2,Teacher 10
409 ,Song,Student 409,,Course 2,Teacher 10
410 ,Chen,Student 410,,Course 2,Teacher 10
8 ,Yang,Student 8,,Course 2,Teacher 10
411 ,Zhang,Student 411,,Course 2,Teacher 10
